,ARS,BRL,CLP,COP,CRC,EUR,MXN,PEN,date
0,15.87,3.2530904359141184,670.5558908335009,3002.0,553.1,0.9508,20.73,3.3559975031378575,2017-01-01
1,15.873015,3.2530736,670.56,3002.01,553.1,0.9508,20.73,3.356,2017-01-02
2,15.85,3.265839320705421,670.690811535882,3001.0,553.1,0.9565,20.73398299813394,3.3609943165586107,2017-01-03
3,15.948963317384369,3.265,675.1738286341233,2981.514609421586,553.1,0.9611,21.110407430863415,3.39260209187845,2017-01-04
4,16.08,3.22,671.366230278617,2970.3558486306656,553.1,0.9534,21.450022,3.389497303654895,2017-01-05
5,15.95,3.2,661.4,2931.0,553.71,0.9428,21.43,3.37,2017-01-06
6,15.822784810126581,3.2237266279819474,667.24495,2924.92,550.97,0.9495,21.23,3.38,2017-01-07
7,15.822784405,3.2237266279819474,667.24,2924.92,550.9641873278237,0.9495,21.23,3.38,2017-01-08
8,15.82,3.2237266279819474,667.24,2924.92,550.9671000000001,0.9495,21.23,3.38,2017-01-09
9,15.87,3.2,671.0508656556167,2927.829014785537,554.3237250554323,0.9457,21.38,3.38050261312852,2017-01-10
10,15.85,3.2,670.0616456714017,2954.9954197570996,554.3237250554323,0.9475,21.800741,3.387,2017-01-11
11,15.85,3.2,669.89,2972.0,554.3237250554323,0.945,21.86,3.3853436,2017-01-12
12,15.82,3.19,661.7,2924.2331198643155,554.02,0.9422,21.79,3.362,2017-01-13
13,15.85,3.2216494845360826,659.29,2944.98763105195,555.247084952804,0.9396,21.48,3.362,2017-01-14
14,15.85,3.2216494845360826,659.3,2944.98763105195,555.247084952804,0.9396,21.48,3.362452169117894,2017-01-15
15,15.848930269413628,3.2216494845360826,659.282700421941,2944.99,555.2471,0.9396,21.48,3.362,2017-01-16
16,15.87,3.2414174,662.2,2936.0,553.1,0.9433,21.74,3.369998921600345,2017-01-17
17,15.9,3.22,656.0388375,2918.69,553.1,0.9334,21.52,3.36,2017-01-18
18,15.97,3.2310177705977385,659.4131223211342,2936.0,549.76,0.9407,21.95,3.35,2017-01-19
19,15.9,3.197,660.77,2944.51,553.1,0.9377,21.95389681668496,3.316,2017-01-20
20,15.89825119236884,3.172,657.1166,2922.0,553.1,0.9343,21.59,3.3,2017-01-21
21,15.9,3.172,657.12,2921.76,553.1,0.9343,21.584286639326567,3.3,2017-01-22
22,15.9,3.1715826197272436,657.1165724799579,2921.76,553.0973451327434,0.9343,21.584286639326567,3.3,2017-01-23
23,15.95,3.164,653.2105297537396,2932.3396347,552.8,0.92893636,21.4,3.3034372264341045,2017-01-24
24,15.92,3.1705770450221937,652.58,2932.37,553.0973451327434,0.94,21.53,3.29,2017-01-25
25,15.95,3.1705770450221937,648.43,2925.26,552.7916,0.9362,21.08,3.285766388581305,2017-01-26
26,15.95,3.1776294884016525,651.0,2940.225221251948,552.8,0.9362,21.22,3.2995459824728117,2017-01-27
27,15.9,3.15,651.13,2932.99,553.0973451327434,0.9347,20.89,3.291,2017-01-28
28,15.9,3.1407035175879394,651.12,2932.99,553.1,0.9347,20.89,3.3,2017-01-29
29,15.9,3.1407035175879394,651.1264487563485,2932.99,553.1,0.9347,20.89,3.291,2017-01-30
30,15.9,3.13,647.67,2928.86,553.7098560354374,0.935,20.8,3.29,2017-01-31
31,15.9,3.15059861373661,648.3,2924.32,553.7098560354374,0.9261,20.833334,3.271,2017-02-01
32,15.8,3.13,646.21,2904.28,554.93896,0.9286,20.71,3.28,2017-02-02
33,15.68,3.13,642.43,2879.44,554.93896,0.9295,20.56,3.2479976094737597,2017-02-03
34,15.63,3.12,640.54,2853.97,555.87,0.9274,20.37,3.26,2017-02-04
35,15.63,3.12,640.5329233922623,2853.962727246782,555.87,0.9274,20.37,3.26,2017-02-05
